title,url,publishedDate,updatedDate,imageUrl
"Cache Your AI Responses: Save Time and API Costs","https://medium.com/scrum-and-coke/cache-your-ai-responses-save-time-and-api-costs-b27a7820dbc2","2026-04-27","2026-04-27","https://miro.medium.com/v2/resize:fit:640/1*plHsXXR0y5mAuHdAgo9xdQ.png"
"Semantic Position Search with SQL Server Native Vector Search","https://medium.com/scrum-and-coke/semantic-position-search-with-sql-server-native-vector-search-3416e7091bae","2026-04-27","2026-04-27","https://miro.medium.com/v2/resize:fit:640/1*MdL7uSqs0Dus89rqdFONqQ.png"
"Semantic Position Search with Vector Embeddings in Angular Material","https://medium.com/scrum-and-coke/semantic-position-search-with-vector-embeddings-in-angular-material-9581bf63b6f0","2026-04-26","2026-04-26","https://miro.medium.com/v2/resize:fit:640/1*Ogu2JFgBjwfvQlXqEXPZ8Q.png"
"Natural Language Employee Search with LLM Query Parsing","https://medium.com/scrum-and-coke/natural-language-employee-search-with-llm-query-parsing-e1e16f9a6ee0","2026-04-25","2026-04-25","https://miro.medium.com/v2/resize:fit:640/1*5VHPtRQoJ8nuInig72BwUw.png"
"Natural Language Employee Search in Angular Material","https://medium.com/scrum-and-coke/natural-language-employee-search-in-angular-material-a275a8a8a6d6","2026-04-24","2026-04-24","https://miro.medium.com/v2/resize:fit:640/1*Lx6y5Gj39e6kcZoLfV4nQw.png"
"Build a Dedicated AI Section in Angular with Submenu Navigation","https://medium.com/scrum-and-coke/build-a-dedicated-ai-section-in-angular-with-submenu-navigation-5701b1365a57","2026-04-24","2026-04-24","https://miro.medium.com/v2/resize:fit:640/1*X55oT0LZWvzFF9j58vPJGg.png"
"Build an HR AI Assistant That Knows Your Data","https://medium.com/scrum-and-coke/build-an-hr-ai-assistant-that-knows-your-data-7608bfbbcd2a","2026-04-23","2026-04-23","https://miro.medium.com/v2/resize:fit:640/1*_rWeSHLqr3rJ6YYWrt8eoA.png"
"Run a Local LLM in Your .NET 10 API with Ollama","https://medium.com/scrum-and-coke/run-a-local-llm-in-your-net-10-api-with-ollama-73fab075217a","2026-04-23","2026-04-23","https://miro.medium.com/v2/resize:fit:640/1*HsjD0gR1AXCDyrgabSdZNQ.png"
"Zero Secrets in Config: Azure Key Vault for App Service and .NET Code","https://medium.com/scrum-and-coke/zero-secrets-in-config-azure-key-vault-for-app-service-and-net-code-ca7eb4f46761","2026-04-11","2026-04-20","https://miro.medium.com/v2/resize:fit:640/1*F_I0aStu-kLInUqjYBCd8A.png"
"Connect the Stack: Post-Deployment Configuration and Validation","https://medium.com/scrum-and-coke/connect-the-stack-post-deployment-configuration-and-validation-05cf7c71ddb3","2026-04-10","2026-04-10","https://miro.medium.com/v2/resize:fit:640/1*jol1VSAKAHh6bQN44u_LuQ.png"
"Deploy Angular to Azure Static Web Apps","https://medium.com/scrum-and-coke/deploy-angular-to-azure-static-web-apps-52ea4f2ca110","2026-04-10","2026-04-10","https://miro.medium.com/v2/resize:fit:640/1*Yghu28sp5QriRAMyB7wYGg.png"
"Deploy .NET API and IdentityServer to Azure App Service","https://medium.com/scrum-and-coke/deploy-net-api-and-identityserver-to-azure-app-service-fa7e7b23250b","2026-04-07","2026-04-07","https://miro.medium.com/v2/resize:fit:640/1*zTJzU29-CFiwIdTOIqz9eA.png"
"Secure CI/CD: Connect GitHub Actions to Azure Without Passwords","https://medium.com/scrum-and-coke/secure-ci-cd-connect-github-actions-to-azure-without-passwords-45ba434bf6d3","2026-04-07","2026-04-07","https://miro.medium.com/v2/resize:fit:640/1*4gDAC4SxTF1b_3RhF-BO5g.png"
"Infrastructure as Code: Provision All Azure Resources with One Bicep Command","https://medium.com/scrum-and-coke/infrastructure-as-code-provision-all-azure-resources-with-one-bicep-command-5526708ffff7","2026-04-05","2026-04-07","https://miro.medium.com/v2/resize:fit:640/1*07Cl6EJxX1U1TAARl9_ujg.png"
"Your First Azure Deployment: Setting Up a Visual Studio Subscription","https://medium.com/scrum-and-coke/your-first-azure-deployment-setting-up-a-visual-studio-subscription-41848291f5f6","2026-04-05","2026-04-05","https://miro.medium.com/v2/resize:fit:640/1*MqPwNrLwRTO4_BpJQ51DNg.png"
"1,000 Test Employees in 3 Seconds: Database Seeding for Development and Testing","https://medium.com/scrum-and-coke/1-000-test-employees-in-3-seconds-database-seeding-for-development-and-testing-d977ba0de366","2026-03-21","2026-04-05","https://miro.medium.com/v2/resize:fit:640/1*OXhqdaXsXkt-PZO_H5sE3g.png"
"Skip the UI: Test Your .NET API Directly with Playwright’s Request Fixture","https://medium.com/scrum-and-coke/skip-the-ui-test-your-net-api-directly-with-playwrights-request-fixture-287f7d761248","2026-03-20","2026-03-20","https://miro.medium.com/v2/resize:fit:640/1*d9p9mnuV0Us04ebrM5_3eg.png"
"How to Extract and Verify JWT Tokens in Playwright Tests","https://medium.com/scrum-and-coke/how-to-extract-and-verify-jwt-tokens-in-playwright-tests-be229c6ccee6","2026-03-19","2026-03-19","https://miro.medium.com/v2/resize:fit:640/1*nNdq2qpfKGggBNs_rRC9kA.png"
"One Feature, Three Users: Testing Role-Based Access Control with Playwright","https://medium.com/scrum-and-coke/one-feature-three-users-testing-role-based-access-control-with-playwright-480a737fe332","2026-03-19","2026-03-19","https://miro.medium.com/v2/resize:fit:640/1*eNcmogoP-PL21eNGa1rV_g.png"
"Stop Copy-Pasting Selectors: The Page Object Model for Angular Material","https://medium.com/scrum-and-coke/stop-copy-pasting-selectors-the-page-object-model-for-angular-material-e5918ccb929c","2026-03-17","2026-03-17","https://miro.medium.com/v2/resize:fit:640/1*BxWNsoKf8eJ1CQuCRUkbrA.png"
"Your First Playwright Test for an Angular App — From Zero to Green","https://medium.com/scrum-and-coke/your-first-playwright-test-for-an-angular-app-from-zero-to-green-bfb70b4a3acd","2026-03-17","2026-03-17","https://miro.medium.com/v2/resize:fit:640/1*6g-lrMRXxlfD-oVVkAqeDw.png"
"Why We Didn’t Build the Admin Shell from Scratch: ng-matero Explained","https://medium.com/scrum-and-coke/why-we-didnt-build-the-admin-shell-from-scratch-ng-matero-explained-e3ccfddb4ef1","2026-03-15","2026-03-15","https://miro.medium.com/v2/resize:fit:640/1*XoE4LyAVKPU1z2U2DQkscQ.png"
"The Right Way to Ask “Are You Sure?” — Angular Material Dialogs for Confirm Actions","https://medium.com/scrum-and-coke/the-right-way-to-ask-are-you-sure-angular-material-dialogs-for-confirm-actions-c4603350c55b","2026-03-15","2026-03-15","https://miro.medium.com/v2/resize:fit:640/1*1LyZ0mWtD30FOPAJhH9aoA.png"
"Reactive Forms Done Right: Validation Patterns Every Angular Developer Should Know","https://medium.com/scrum-and-coke/reactive-forms-done-right-validation-patterns-every-angular-developer-should-know-6065450a7e96","2026-03-14","2026-03-14","https://miro.medium.com/v2/resize:fit:640/1*Kw19Vd1RLQusPIIjTvRdgA.png"
"Fullstack Angular DotNet — Blog Series Navigation","https://medium.com/scrum-and-coke/fullstack-angular-dotnet-blog-series-navigation-4ea144264302","2026-03-13","2026-04-05","https://miro.medium.com/v2/resize:fit:640/1*O61CnkqR10t2ZFcqq7rowQ.png"
"Build a Production-Ready Data Table in Angular Material: Sort, Filter, Page","https://medium.com/scrum-and-coke/build-a-production-ready-data-table-in-angular-material-sort-filter-page-efecaf28dac5","2026-03-13","2026-03-13","https://miro.medium.com/v2/resize:fit:640/1*oO_BFsUlAvwI8oFf6kbfmA.png"
"Speed Up Your Dashboard: Easy Response Caching in .NET 10 With EasyCaching","https://medium.com/scrum-and-coke/speed-up-your-dashboard-easy-response-caching-in-net-10-with-easycaching-9d85bc0697e4","2026-03-11","2026-03-13","https://miro.medium.com/v2/resize:fit:640/1*u4oWD_oTDmTxDEZ0h6ALfg.png"
"Test Your Secured .NET API Without Writing a Single Line of Frontend Code","https://medium.com/scrum-and-coke/test-your-secured-net-api-without-writing-a-single-line-of-frontend-code-7c5dec5e74fb","2026-03-11","2026-03-13","https://miro.medium.com/v2/resize:fit:640/1*9MMfkXTRGnJcxyzBX8I2sw.png"
"Future-Proof Your .NET API: Add Versioning Without Breaking Existing Clients","https://medium.com/scrum-and-coke/future-proof-your-net-api-add-versioning-without-breaking-existing-clients-4f0e9a6c06c6","2026-03-10","2026-03-13","https://miro.medium.com/v2/resize:fit:640/1*E5JDpkCQjGkg302MNya-Ug.png"
"How Your .NET API Knows to Trust Angular — JWT Validation Explained","https://medium.com/scrum-and-coke/how-your-net-api-knows-to-trust-angular-jwt-validation-explained-4ca5a82ca0e6","2026-03-09","2026-03-13","https://miro.medium.com/v2/resize:fit:640/1*BxhCvgKnTzUC8roZ3_pJ8g.png"
"How to Structure a .NET 10 API So It Doesn’t Become a Mess","https://medium.com/scrum-and-coke/how-to-structure-a-net-10-api-so-it-doesnt-become-a-mess-c8898ab53552","2026-03-09","2026-03-13","https://miro.medium.com/v2/resize:fit:640/1*CYjXaHaSrMYmEGVrL6oKcA.png"
"Show the Right Buttons to the Right People: Role-Based UI in Angular","https://medium.com/scrum-and-coke/show-the-right-buttons-to-the-right-people-role-based-ui-in-angular-a111feeea94c","2026-03-08","2026-03-13","https://miro.medium.com/v2/resize:fit:640/1*pE4ekCyu3AfixaSuoK8fdA.png"
"Never Forget a Bearer Token Again: Angular’s HTTP Interceptor Explained","https://medium.com/scrum-and-coke/never-forget-a-bearer-token-again-angulars-http-interceptor-explained-805b7a63d9c7","2026-03-07","2026-03-13","https://miro.medium.com/v2/resize:fit:640/1*A8bs4A_aDzCd49penVKFTQ.png"
"Lock Down Your Angular Routes: Auth Guards with OIDC in 5 Minutes","https://medium.com/scrum-and-coke/lock-down-your-angular-routes-auth-guards-with-oidc-in-5-minutes-fc48d2766da8","2026-03-06","2026-03-08","https://miro.medium.com/v2/resize:fit:640/1*eYN28hOWmftW4o529DS9lQ.png"
"Why Your Angular App Needs PKCE: OAuth 2.0 Explained with a Working Demo","https://medium.com/scrum-and-coke/why-your-angular-app-needs-pkce-oauth-2-0-explained-with-a-working-demo-bd326d8cdd89","2026-03-06","2026-03-13","https://miro.medium.com/v2/resize:fit:640/1*OmTIx3fdtnMMW8iqDOpfbQ.png"
"End-to-End Testing Made Simple: How Playwright Transforms Testing for Angular Applications","https://medium.com/scrum-and-coke/end-to-end-testing-made-simple-how-playwright-transforms-testing-for-angular-applications-a329dc687702","2026-03-04","2026-03-13","https://miro.medium.com/v2/resize:fit:640/1*8xQgB_ufUYjFCwLRLVsB8w.png"
"Stop Juggling Multiple Repos: Manage Your Full-Stack App Like a Workspace","https://medium.com/scrum-and-coke/stop-juggling-multiple-repos-manage-your-full-stack-app-like-a-workspace-71726f393a41","2026-02-09","2026-03-13","https://miro.medium.com/v2/resize:fit:640/1*i8vnRLKYlL04oI9NeSncLw.png"
"SMTP Email Features in Template OnionAPI v10.3.0","https://medium.com/scrum-and-coke/smtp-email-features-in-template-onionapi-v10-3-0-119fce4dbf69","2026-02-09","2026-02-09","https://miro.medium.com/v2/resize:fit:640/1*6mgz81EmipGjmMSMgoI_ag.png"
"Building Modern Web Applications with Angular, .NET, and OAuth 2.0 — Complete Tutorial Series","https://medium.com/scrum-and-coke/building-modern-web-applications-with-angular-net-and-oauth-2-0-complete-tutorial-series-7ea97ed3fc56","2026-02-06","2026-02-11","https://miro.medium.com/v2/resize:fit:640/0*prAHFoKjHvXLqtYe.png"
"Feature Management in Template OnionAPI v10.2.0","https://medium.com/scrum-and-coke/feature-management-in-template-onionapi-v10-2-0-1f1437de1cc6","2026-01-29","2026-01-29","https://miro.medium.com/v2/resize:fit:640/0*Ay7SWBh2EEkCdQ2F.png"
"Migrating Specifications to Ardalis.Specification in Template OnionAPI v10.2.0","https://medium.com/scrum-and-coke/migrating-specifications-to-ardalis-specification-in-template-onionapi-v10-2-0-843577c8b5c2","2026-01-29","2026-01-29","https://miro.medium.com/v2/resize:fit:640/0*9Q8r4XzVbcX2zvMo.png"
"EasyCaching in Template OnionAPI v10.1.2: Fast, Observable, and Invalidation-Friendly","https://medium.com/scrum-and-coke/easycaching-in-template-onionapi-v10-1-2-fast-observable-and-invalidation-friendly-034ebfa87c54","2026-01-24","2026-01-25","https://miro.medium.com/v2/resize:fit:640/1*9itA2vXShJ1F_woFM5nt9g.png"
"Open-Source Messaging and Mapping in Template OnionAPI v10.1.2","https://medium.com/scrum-and-coke/open-source-messaging-and-mapping-in-template-onionapi-v10-1-2-7931aeb80a9d","2026-01-23","2026-01-23","https://miro.medium.com/v2/resize:fit:640/1*9itA2vXShJ1F_woFM5nt9g.png"
"Measuring API Performance with Execution Timing in Template OnionAPI","https://medium.com/scrum-and-coke/measuring-api-performance-with-execution-timing-in-template-onionapi-7b5d6d1ed2e1","2026-01-08","2026-01-08","https://miro.medium.com/v2/resize:fit:640/1*m1KL2oSw3T0eXJaF3Wov5g.png"
"Building Reliable APIs with the Result Pattern in Template OnionAPI","https://medium.com/scrum-and-coke/building-reliable-apis-with-the-result-pattern-in-template-onionapi-54f7bc229d24","2026-01-07","2026-01-07","https://miro.medium.com/v2/resize:fit:640/1*m1KL2oSw3T0eXJaF3Wov5g.png"
"Smarter Data Shaping in Template OnionAPI","https://medium.com/scrum-and-coke/smarter-data-shaping-in-template-onionapi-502d56c45f34","2026-01-06","2026-01-06","https://miro.medium.com/v2/resize:fit:640/1*m1KL2oSw3T0eXJaF3Wov5g.png"
"Harnessing Specifications to Simplify .NET APIs in Template OnionAPI","https://medium.com/scrum-and-coke/harnessing-specifications-to-simplify-net-apis-in-template-onionapi-e1d0189e6d79","2026-01-05","2026-01-06","https://miro.medium.com/v2/resize:fit:640/1*m1KL2oSw3T0eXJaF3Wov5g.png"
"Template Onion API on .NET 10: Ready for Visual Studio 2026","https://medium.com/scrum-and-coke/template-onion-api-on-net-10-ready-for-visual-studio-2026-6d9166292eb9","2026-01-05","2026-01-06","https://miro.medium.com/v2/resize:fit:640/1*m1KL2oSw3T0eXJaF3Wov5g.png"
"Building a PDF Chat App with .NET, Ollama, and Qdrant Vector DB","https://medium.com/scrum-and-coke/building-ai-powered-document-chat-with-rag-in-net-a-complete-guide-for-local-llm-integration-afc543e672ec","2025-08-13","2025-08-16","https://miro.medium.com/v2/resize:fit:640/1*xtgPBq_h438pnslLpsMQ9w.png"
"Angular 20 + .NET 9 Web API + Duende IdentityServer v7 Tutorial","https://medium.com/scrum-and-coke/angular-20-net-9-web-api-duende-identityserver-v7-tutorial-cf5b6a530e69","2025-08-11","2025-08-14","https://miro.medium.com/v2/resize:fit:640/1*YHjSqVmgIAaIHZHnFtA1tg.png"
"Testing Clean Architecture Web APIs: A Comprehensive Guide","https://medium.com/scrum-and-coke/testing-clean-architecture-web-apis-a-comprehensive-guide-cb42ff84e668","2025-08-03","2025-08-03","https://miro.medium.com/v2/resize:fit:640/1*GBH5CWBtHbjuX9yGsj5kTA.png"
"🔥 Build Fast with Angular 19 + Bootstrap 5: A Developer’s Starter Kit","https://medium.com/scrum-and-coke/build-fast-with-angular-19-bootstrap-5-a-developers-starter-kit-17ffb373e798","2025-08-03","2025-08-03","https://miro.medium.com/v2/resize:fit:640/1*Kspu0sSmxHAksK2CAMSc3A.png"
"Visual Studio Template OnionAPI — Release Notes","https://medium.com/@fuji-nguyen/visual-studio-template-onionapi-release-notes-f6769fe56ca7","2025-01-09","2025-01-10","https://miro.medium.com/v2/resize:fit:640/1*7r3fm7qq4z4JBj3ainFuhA.png"
"Getting Started with Ollama and .NET 9 Web API","https://medium.com/scrum-and-coke/getting-started-with-ollama-and-net-9-web-api-1d86b2fc39a5","2024-12-24","2025-01-13","https://miro.medium.com/v2/resize:fit:640/1*8xNz2deXzXVV-HbkSMpviA.png"
"Creating a Web API with .NET 9 to Interact with a Local Ollama AI Instance using Llama 3.1","https://medium.com/scrum-and-coke/creating-a-web-api-with-net-9-to-interact-with-a-local-ollama-ai-instance-using-llama-3-1-41fcc3cceb8b","2024-12-22","2026-04-01","https://miro.medium.com/v2/resize:fit:640/0*TuGmzTqW8j96Ntj8"
"Familiarizing .NET Developers with Ollama: Leveraging Local AI Models for System Integration","https://medium.com/knowledge-pills/familiarizing-net-developers-with-ollama-leveraging-local-ai-models-for-system-integration-b71e781e5582","2024-12-22","2025-01-13","https://miro.medium.com/v2/resize:fit:640/1*bt3GQzhDO_4P_qaaS_okPA.png"
"Mastering Ball Placement in Pickleball","https://medium.com/pickleball/mastering-ball-placement-in-pickleball-92dc3828a60c","2024-12-08","2024-12-08","https://miro.medium.com/v2/resize:fit:640/1*3P6d793yJ1mVGS29SUBQYw.png"
"Tai Chi for Pickleball Players","https://medium.com/pickleball/tai-chi-for-pickleball-players-a79660ffebe5","2024-11-30","2024-11-30","https://miro.medium.com/v2/resize:fit:640/0*IKufhBU-zex5N7Cs"
"1.5-Hour Pickleball Training Plan: Becoming Offensive","https://medium.com/pickleball/1-5-hour-pickleball-training-plan-becoming-offensive-5b4cb15978fd","2024-11-17","2024-11-17","https://miro.medium.com/v2/resize:fit:640/110c09ba4444e338d29ed74adb04b0bf053357845c57c64219ba0655d653a4cd"
"New Pickleball Student Evaluation and Training Plan","https://medium.com/pickleball/new-pickleball-student-evaluation-and-training-plan-7a1e37e0899b","2024-11-14","2024-11-14","https://miro.medium.com/v2/resize:fit:640/253d1ac7271c0a7cc8f41cd8f9de7fb7148297ef9c17b11e085fd6559557c22b"
"90-Minute Pickleball Training Plan","https://medium.com/pickleball/90-minute-pickleball-training-plan-8f9eca7b7456","2024-11-11","2024-11-13","https://miro.medium.com/v2/resize:fit:640/a8ce0cea4b9fef8a54ce3f0bb96f7de702490ca0eded890b5bee29316727e477"
"Pickleball Doubles Training Session: Mastering Shake and Bake & 3rd Shot Drive/5th Shot Reset","https://medium.com/pickleball/pickleball-doubles-training-session-mastering-shake-and-bake-3rd-shot-drive-5th-shot-reset-37f9fd6b4bba","2024-11-03","2024-11-13","https://miro.medium.com/v2/resize:fit:640/0*R3c1nGQUnEJY1De4"
"Pickleball Doubles Training Session: Mastering Stacking and the 3rd Shot Drop","https://medium.com/pickleball/pickleball-doubles-training-session-mastering-stacking-and-the-3rd-shot-drop-4544af1c7690","2024-11-03","2024-11-13","https://miro.medium.com/v2/resize:fit:640/0*OY3pHdnW7kr7t4cJ"
"The Essential Pickleball Training Skills for New Players: A Coach’s Guide","https://medium.com/pickleball/the-essential-pickleball-training-skills-for-new-players-a-coachs-guide-9e5f87ec9dea","2024-10-21","2024-11-14","https://miro.medium.com/v2/resize:fit:640/0*EzVJchtH7OSjznA0"
"How to Render HTML and Convert to PDF in a .NET Core Web API Using Razor and PuppeteerSharp","https://medium.com/scrum-and-coke/how-to-render-html-and-convert-to-pdf-in-a-net-core-web-api-using-razor-and-puppeteersharp-f3526b23dd04","2024-10-18","2024-11-14","https://miro.medium.com/v2/resize:fit:640/0*fx3nNJd3gqcH0mDy"
"Announcing TemplateOnionAPI v8.8: New Features for Enhanced Web API Development","https://medium.com/scrum-and-coke/announcing-templateonionapi-v8-8-new-features-for-enhanced-web-api-development-8494a5542518","2024-08-17","2024-11-18","https://miro.medium.com/v2/resize:fit:640/0*Y9ZyVGrK7LtbOtcF"
"Generating SQL Scripts for EF Core Migrations from IdentityServer4 to Duende 6 and then Duende 7","https://medium.com/scrum-and-coke/generating-sql-scripts-for-ef-core-migrations-from-identityserver4-to-duende-6-and-then-duende-7-0e939e371c53","2024-08-12","2024-11-18","https://miro.medium.com/v2/resize:fit:640/1*8beEbTXyjRa35qAwmf43qg.png"
"EF Core Migrations in Azure DevOps Pipelines with YAML Configuration and Environment Setup","https://medium.com/knowledge-pills/ef-core-migrations-in-azure-devops-pipelines-with-yaml-configuration-and-environment-setup-1c77e9a211cd","2024-08-12","2024-11-18","https://miro.medium.com/v2/resize:fit:640/1*hHVLcSXVYDSf6GBeUJINeg.png"
"Applying EF Core Migrations at Application Startup with the Migrate() Method","https://medium.com/knowledge-pills/applying-ef-core-migrations-at-application-startup-with-the-migrate-method-5f3f85e8fca9","2024-08-12","2024-11-18","https://miro.medium.com/v2/resize:fit:640/1*N7utKYqqNmIhyfA6gkGRCw.png"
"Integration of NetCore WebAPI with ChatGPT and Elasticsearch: Benefits and Example","https://medium.com/scrum-and-coke/integration-of-netcore-webapi-with-chatgpt-and-elasticsearch-benefits-and-example-19c82c4811a7","2024-07-04","2024-11-21","https://miro.medium.com/v2/resize:fit:640/0*O-6M7iwz3mjmPifH"
"Integrating Elasticsearch with .NET Core Web API for Talent Management","https://medium.com/scrum-and-coke/integrating-elasticsearch-with-net-core-web-api-for-talent-management-11d537e7fc46","2024-07-04","2024-11-21","https://miro.medium.com/v2/resize:fit:640/1*jAz76ip8H92kgnO1WeKUlg.png"
